date,z47_float,z47_mcap,n500_indexed,n500_abs
2024-01-02,100.0,100.0,100.0,19418.4
2024-01-03,99.634165,99.634165,99.7361,19367.15
2024-01-04,100.212786,100.212786,100.6326,19541.25
2024-01-05,101.609967,101.609967,100.8868,19590.6
2024-01-08,102.059932,102.059932,99.9964,19417.7
2024-01-09,102.500701,102.500701,100.2119,19459.55
2024-01-10,103.478763,103.478763,100.5121,19517.85
2024-01-11,104.343108,104.343108,100.8546,19584.35
2024-01-12,104.766079,104.766079,101.685,19745.6
2024-01-15,104.898248,104.898248,102.4057,19885.55
2024-01-16,103.627465,103.627465,102.107,19827.55
2024-01-17,101.722833,101.722833,100.3564,19487.6
2024-01-18,101.749057,101.749057,99.9815,19414.8
2024-01-19,102.832691,102.832691,100.9682,19606.4
2024-01-22,103.229856,103.229856,100.9682,19606.4
2024-01-23,100.150419,100.150419,98.9085,19206.45
2024-01-24,101.20024,101.20024,100.1679,19451.0
2024-01-25,101.281173,101.281173,99.8692,19393.0
2024-01-26,101.626548,101.626548,99.8692,19393.0
2024-01-29,102.505286,102.505286,101.5102,19711.65
2024-01-30,103.140991,103.140991,100.8023,19574.2
2024-01-31,105.128181,105.128181,101.976,19802.1
2024-02-01,104.341402,104.341402,101.8485,19777.35
2024-02-02,103.521034,103.521034,102.5357,19910.8
2024-02-05,101.539646,101.539646,102.2407,19853.5
2024-02-06,101.641802,101.641802,103.1689,20033.75
2024-02-07,102.382321,102.382321,103.5593,20109.55
2024-02-08,102.291691,102.291691,102.931,19987.55
2024-02-09,102.509163,102.509163,102.7968,19961.5
2024-02-12,101.328039,101.328039,101.3225,19675.2
2024-02-13,101.340531,101.340531,101.8771,19782.9
2024-02-14,101.052546,101.052546,102.595,19922.3
2024-02-15,101.85213,101.85213,103.1856,20037.0
2024-02-16,102.157325,102.157325,103.8443,20164.9
2024-02-19,103.364421,103.364421,103.8443,20164.9
2024-02-20,103.402066,103.402066,104.3953,20271.9
2024-02-21,102.348693,102.348693,103.6558,20128.3
2024-02-22,103.121192,103.121192,104.4574,20283.95
2024-02-23,103.136198,103.136198,104.6095,20313.5
2024-02-26,104.433028,104.433028,104.3124,20255.8
2024-02-27,104.894127,104.894127,104.5032,20292.85
2024-02-28,104.033066,104.033066,103.1002,20020.4
2024-02-29,105.031008,105.031008,103.4588,20090.05
2024-03-01,104.745541,104.745541,104.7965,20349.8
2024-03-04,103.839003,103.839003,105.2201,20432.05
2024-03-05,101.866674,101.866674,104.9623,20382.0
2024-03-06,100.865503,100.865503,104.9497,20379.55
2024-03-07,101.20254,101.20254,105.2342,20434.8
2024-03-08,101.288298,101.288298,105.2342,20434.8
2024-03-11,101.450267,101.450267,104.4821,20288.75
2024-03-12,100.881157,100.881157,103.8778,20171.4
2024-03-13,97.602926,97.602926,101.1736,19646.3
2024-03-14,99.78936,99.78936,102.5643,19916.35
2024-03-15,99.815718,99.815718,102.0949,19825.2
2024-03-18,100.584054,100.584054,102.1871,19843.1
2024-03-19,100.26707,100.26707,100.9895,19610.55
2024-03-20,101.937024,101.937024,101.1002,19632.05
2024-03-21,103.667697,103.667697,102.4667,19897.4
2024-03-22,104.364686,104.364686,102.9673,19994.6
2024-03-25,104.230722,104.230722,102.9673,19994.6
2024-03-26,104.39873,104.39873,103.0221,20005.25
2024-03-27,105.175324,105.175324,103.4472,20087.8
2024-03-28,105.663602,105.663602,104.3091,20255.15
2024-04-01,107.540305,107.540305,105.5316,20492.55
2024-04-02,106.966648,106.966648,105.9292,20569.75
2024-04-03,107.514421,107.514421,106.1143,20605.7
2024-04-04,108.344014,108.344014,106.4179,20664.65
2024-04-05,110.444665,110.444665,106.6777,20715.1
2024-04-08,110.561577,110.561577,107.2133,20819.1
2024-04-09,110.897865,110.897865,107.067,20790.7
2024-04-10,110.84266,110.84266,107.7081,20915.2
2024-04-11,111.107285,111.107285,107.7081,20915.2
2024-04-12,109.558117,109.558117,106.8342,20745.5
2024-04-15,107.059969,107.059969,105.4605,20478.75
2024-04-16,106.503259,106.503259,105.1734,20423.0
2024-04-17,106.605164,106.605164,105.1734,20423.0
2024-04-18,105.919876,105.919876,104.6672,20324.7
2024-04-19,105.60359,105.60359,104.9788,20385.2
2024-04-22,106.868265,106.868265,105.9554,20574.85
2024-04-23,107.662736,107.662736,106.3561,20652.65
2024-04-24,108.59475,108.59475,106.7578,20730.65
2024-04-25,109.850061,109.850061,107.4646,20867.9
2024-04-26,109.696276,109.696276,107.3175,20839.35
2024-04-29,109.518734,109.518734,108.1047,20992.2
2024-04-30,109.276671,109.276671,108.1304,20997.2
2024-05-01,109.697444,109.697444,108.1304,20997.2
2024-05-02,108.595382,108.595382,108.5754,21083.6
2024-05-03,108.515094,108.515094,107.9365,20959.55
2024-05-06,107.669234,107.669234,107.4494,20864.95
2024-05-07,106.206983,106.206983,106.2706,20636.05
2024-05-08,106.241435,106.241435,106.6252,20704.9
2024-05-09,105.480833,105.480833,104.7707,20344.8
2024-05-10,106.630509,106.630509,105.4108,20469.1
2024-05-13,106.640393,106.640393,105.6266,20511.0
2024-05-14,106.637139,106.637139,106.5165,20683.8
2024-05-15,108.642201,108.642201,106.8154,20741.85
2024-05-16,109.233644,109.233644,107.7795,20929.05
2024-05-17,110.485718,110.485718,108.4773,21064.55
2024-05-20,111.248529,111.248529,108.4773,21064.55
2024-05-21,108.327016,108.327016,109.1112,21187.65
2024-05-22,108.107252,108.107252,109.3692,21237.75
2024-05-23,106.917679,106.917679,110.6659,21489.55
2024-05-24,106.83772,106.83772,110.636,21483.75
2024-05-27,106.855169,106.855169,110.6837,21493.0
2024-05-28,105.159235,105.159235,110.1396,21387.35
2024-05-29,104.476406,104.476406,109.4647,21256.3
2024-05-30,103.392294,103.392294,108.3434,21038.55
2024-05-31,103.899115,103.899115,108.6768,21103.3
2024-06-03,104.77884,104.77884,112.2513,21797.4
2024-06-04,100.313507,100.313507,104.6628,20323.85
2024-06-05,104.733135,104.733135,108.425,21054.4
2024-06-06,106.471541,106.471541,110.0245,21365.0
2024-06-07,107.653931,107.653931,112.08,21764.15
2024-06-10,107.94827,107.94827,112.3071,21808.25
2024-06-11,107.7485,107.7485,112.5324,21852.0
2024-06-12,108.206013,108.206013,113.0935,21960.95
2024-06-13,108.519304,108.519304,113.6772,22074.3
2024-06-14,109.475415,109.475415,114.3982,22214.3
2024-06-17,109.827736,109.827736,114.3982,22214.3
2024-06-18,110.145923,110.145923,114.992,22329.6
2024-06-19,110.957114,110.957114,114.4528,22224.9
2024-06-20,111.129905,111.129905,114.8658,22305.1
2024-06-21,111.133483,111.133483,114.511,22236.2
2024-06-24,111.311797,111.311797,114.7834,22289.1
2024-06-25,112.129611,112.129611,115.2034,22370.65
2024-06-26,112.45099,112.45099,115.544,22436.8
2024-06-27,113.156429,113.156429,116.0621,22537.4
2024-06-28,113.916311,113.916311,116.1769,22559.7
2024-07-01,116.139884,116.139884,117.0416,22727.6
2024-07-02,115.334411,115.334411,116.7851,22677.8
2024-07-03,115.458086,115.458086,117.6781,22851.2
2024-07-04,115.018538,115.018538,118.0025,22914.2
2024-07-05,115.23533,115.23533,118.3808,22987.65
2024-07-08,115.970529,115.970529,118.2958,22971.15
2024-07-09,116.599369,116.599369,118.7912,23067.35
2024-07-10,116.561855,116.561855,118.3293,22977.65
2024-07-11,116.75801,116.75801,118.4714,23005.25
2024-07-12,117.525911,117.525911,118.9359,23095.45
2024-07-15,118.694699,118.694699,119.525,23209.85
2024-07-16,116.875812,116.875812,119.4962,23204.25
2024-07-17,116.401896,116.401896,119.4962,23204.25
2024-07-18,117.188876,117.188876,119.5261,23210.05
2024-07-19,115.796535,115.796535,117.6904,22853.6
2024-07-22,116.831601,116.831601,118.149,22942.65
2024-07-23,118.061954,118.061954,117.7502,22865.2
2024-07-24,118.524171,118.524171,118.0398,22921.45
2024-07-25,117.729832,117.729832,118.0182,22917.25
2024-07-26,120.197871,120.197871,119.9483,23292.05
2024-07-29,120.698593,120.698593,120.4744,23394.2
2024-07-30,121.411343,121.411343,120.7149,23440.9
2024-07-31,120.94767,120.94767,121.1779,23530.8
2024-08-01,119.675921,119.675921,121.0532,23506.6
2024-08-02,121.97226,121.97226,119.7805,23259.45
2024-08-05,118.105519,118.105519,116.0881,22542.45
2024-08-06,117.111249,117.111249,115.5775,22443.3
2024-08-07,120.084758,120.084758,117.6662,22848.9
2024-08-08,120.829877,120.829877,116.9288,22705.7
2024-08-09,121.427524,121.427524,118.0504,22923.5
2024-08-12,120.603753,120.603753,118.011,22915.85
2024-08-13,119.955715,119.955715,116.9293,22705.8
2024-08-14,121.460192,121.460192,116.7586,22672.65
2024-08-15,121.839974,121.839974,116.7586,22672.65
2024-08-16,124.563966,124.563966,118.7353,23056.5
2024-08-19,125.613383,125.613383,119.164,23139.75
2024-08-20,126.512143,126.512143,119.8881,23280.35
2024-08-21,128.08676,128.08676,120.3428,23368.65
2024-08-22,127.317557,127.317557,120.7139,23440.7
2024-08-23,128.523706,128.523706,120.6003,23418.65
2024-08-26,129.408998,129.408998,121.3372,23561.75
2024-08-27,129.398042,129.398042,121.5592,23604.85
2024-08-28,128.217569,128.217569,121.6163,23615.95
2024-08-29,127.718613,127.718613,121.6959,23631.4
2024-08-30,128.852914,128.852914,122.2271,23734.55
2024-09-02,128.314536,128.314536,122.3618,23760.7
2024-09-03,127.369623,127.369623,122.5047,23788.45
2024-09-04,128.261893,128.261893,122.301,23748.9
2024-09-05,129.39494,129.39494,122.3726,23762.8
2024-09-06,128.889506,128.889506,120.9044,23477.7
2024-09-09,129.573262,129.573262,121.0303,23502.15
2024-09-10,130.207408,130.207408,121.759,23643.65
2024-09-11,131.50675,131.50675,121.1802,23531.25
2024-09-12,133.079613,133.079613,123.117,23907.35
2024-09-13,132.693739,132.693739,123.2244,23928.2
2024-09-16,133.640245,133.640245,123.4303,23968.2
2024-09-17,133.008422,133.008422,123.4391,23969.9
2024-09-18,132.894587,132.894587,123.0722,23898.65
2024-09-19,133.69368,133.69368,122.842,23853.95
2024-09-20,136.201487,136.201487,124.5921,24193.8
2024-09-23,137.018502,137.018502,125.5469,24379.2
2024-09-24,135.238311,135.238311,125.601,24389.7
2024-09-25,133.31937,133.31937,125.506,24371.25
2024-09-26,131.756832,131.756832,126.153,24496.9
2024-09-27,131.433646,131.433646,126.1152,24489.55
2024-09-30,130.182365,130.182365,124.8568,24245.2
2024-10-01,131.737347,131.737347,124.9912,24271.3
2024-10-02,130.950293,130.950293,124.9912,24271.3
2024-10-03,129.907426,129.907426,122.3347,23755.45
2024-10-04,130.939219,130.939219,121.1992,23534.95
2024-10-07,127.278877,127.278877,119.3814,23181.95
2024-10-08,131.258947,131.258947,121.0839,23512.55
2024-10-09,132.199677,132.199677,121.5322,23599.6
2024-10-10,131.861728,131.861728,121.5247,23598.15
2024-10-11,132.435756,132.435756,121.5921,23611.25
2024-10-14,133.791841,133.791841,122.1885,23727.05
2024-10-15,135.482498,135.482498,122.233,23735.7
2024-10-16,134.690429,134.690429,121.9109,23673.15
2024-10-17,132.99608,132.99608,120.3858,23377.0
2024-10-18,132.309449,132.309449,120.7139,23440.7
